x_value	v_value	N
0.175	0	2
0.19999999999999998	0.05	2
0.15	0.1	2
0.19999999999999998	0.15000000000000002	2
0.175	0.2	2
0.175	0.25	2
0.175	0.30000000000000004	2
0.15	0.35000000000000003	2
0.125	0.4	2
0.15	0.45	2
0.125	0.5	2
0.125	0.55	2
0.07500000000000001	0.6000000000000001	2
0.1	0.65	2
0.07500000000000001	0.7000000000000001	2
0.025	0.75	2
0.05	0.8	2
0	0.8500000000000001	2
0.025	0.9	2
-0.025	0.9500000000000001	2
0	1	2
-0.025	1.05	2
-0.05	1.1	2
-0.025	1.1500000000000001	2
-0.07500000000000001	1.2000000000000002	2
-0.125	1.25	2
-0.125	1.3	2
-0.125	1.35	2
-0.125	1.4000000000000001	2
-0.1	1.4500000000000002	2
-0.15	1.5	2
-0.22499999999999998	1.55	2
-0.175	1.6	2
-0.22499999999999998	1.6500000000000001	2
-0.24999999999999997	1.7000000000000002	2
-0.27499999999999997	1.75	2
-0.27499999999999997	1.8	2
-0.27499999999999997	1.85	2
-0.3	1.9000000000000001	2
-0.325	1.9500000000000002	2
-0.325	2	2
0.8000000000000004	0	10
0.8000000000000004	0.05	10
0.7750000000000004	0.1	10
0.7500000000000003	0.15000000000000002	10
0.7250000000000003	0.2	10
0.6750000000000003	0.25	10
0.6750000000000003	0.30000000000000004	10
0.6750000000000003	0.35000000000000003	10
0.6000000000000002	0.4	10
0.5750000000000002	0.45	10
0.5250000000000001	0.5	10
0.47500000000000014	0.55	10
0.4000000000000001	0.6000000000000001	10
0.37500000000000006	0.65	10
0.3	0.7000000000000001	10
0.24999999999999997	0.75	10
0.19999999999999998	0.8	10
0.15	0.8500000000000001	10
0.07500000000000001	0.9	10
0.05	0.9500000000000001	10
0	1	10
0	1.05	10
-0.07500000000000001	1.1	10
-0.15	1.1500000000000001	10
-0.19999999999999998	1.2000000000000002	10
-0.27499999999999997	1.25	10
-0.27499999999999997	1.3	10
-0.4000000000000001	1.35	10
-0.4250000000000001	1.4000000000000001	10
-0.5250000000000001	1.4500000000000002	10
-0.5750000000000002	1.5	10
-0.6500000000000002	1.55	10
-0.6750000000000003	1.6	10
-0.7750000000000004	1.6500000000000001	10
-0.8500000000000004	1.7000000000000002	10
-0.8750000000000004	1.75	10
-0.9750000000000005	1.8	10
-1.0250000000000004	1.85	10
-1.0500000000000003	1.9000000000000001	10
-1.1	1.9500000000000002	10
-1.2249999999999996	2	10
1.6249999999999982	0	100
1.6499999999999981	0.05	100
1.5999999999999983	0.1	100
1.5499999999999985	0.15000000000000002	100
1.4999999999999987	0.2	100
1.399999999999999	0.25	100
1.3499999999999992	0.30000000000000004	100
1.2749999999999995	0.35000000000000003	100
1.125	0.4	100
1.0500000000000003	0.45	100
0.8500000000000004	0.5	100
0.7250000000000003	0.55	100
0.6750000000000003	0.6000000000000001	100
0.5500000000000002	0.65	100
0.4500000000000001	0.7000000000000001	100
0.3	0.75	100
0.19999999999999998	0.8	100
0.1	0.8500000000000001	100
0	0.9	100
0	0.9500000000000001	100
0	1	100
0	1.05	100
-0.025	1.1	100
-0.1	1.1500000000000001	100
-0.19999999999999998	1.2000000000000002	100
-0.3	1.25	100
-0.4000000000000001	1.3	100
-0.5500000000000002	1.35	100
-0.6250000000000002	1.4000000000000001	100
-0.7500000000000003	1.4500000000000002	100
-0.8250000000000004	1.5	100
-0.9000000000000005	1.55	100
-0.9750000000000005	1.6	100
-1.2999999999999994	1.6500000000000001	100
-1.3499999999999992	1.7000000000000002	100
-1.3249999999999993	1.75	100
-1.4499999999999988	1.8	100
-1.6249999999999982	1.85	100
-1.699999999999998	1.9000000000000001	100
-1.8999999999999972	1.9500000000000002	100
-1.8999999999999972	2	100
